,DateTime,Open,High,Low,Close
195,2019-03-28,280.35,281.21,279.07,280.71
196,2019-03-29,282.39,282.84,281.14,282.48
197,2019-04-01,284.71,286.16,284.4,285.83
198,2019-04-02,286.04,286.23,285.09,285.97
199,2019-04-03,287.32,287.76,285.75,286.42
200,2019-04-04,286.78,287.46,286.01,287.18
201,2019-04-05,287.92,288.63,287.6,288.57
202,2019-04-08,288.1,288.91,287.37,288.79
203,2019-04-09,287.72,288.08,286.7,287.31
204,2019-04-10,287.77,288.39,287.31,288.29
205,2019-04-11,288.83,288.84,287.57,288.21
206,2019-04-12,290.0,290.47,289.26,290.16
207,2019-04-15,290.24,290.35,289.07,289.97
208,2019-04-16,290.95,291.01,289.5,290.16
209,2019-04-17,291.4,291.43,288.99,289.45
210,2019-04-18,290.1,290.32,288.66,290.02
211,2019-04-22,289.17,290.44,289.07,290.27
212,2019-04-23,290.68,293.14,290.42,292.88
213,2019-04-24,292.77,293.16,292.07,292.23
214,2019-04-25,292.13,292.78,290.73,292.05
215,2019-04-26,292.1,293.49,291.24,293.41
216,2019-04-29,293.51,294.45,293.41,293.87
217,2019-04-30,293.49,294.34,291.92,294.02
218,2019-05-01,294.72,294.95,291.8,291.81
219,2019-05-02,291.68,292.7,289.52,291.18
220,2019-05-03,292.82,294.34,292.56,294.03
221,2019-05-06,289.25,293.31,288.9,292.82
222,2019-05-07,290.15,290.81,285.81,287.93
223,2019-05-08,287.54,289.43,286.87,287.53
224,2019-05-09,285.24,287.33,283.3,286.66
225,2019-05-10,285.62,288.94,282.3,288.1
226,2019-05-13,282.42,283.49,279.93,280.86
227,2019-05-14,282.02,285.1,281.85,283.4
228,2019-05-15,281.59,285.77,281.36,285.06
229,2019-05-16,285.84,289.21,285.76,287.7
230,2019-05-17,285.14,288.6,285.13,285.84
231,2019-05-20,284.06,285.43,283.12,283.95
232,2019-05-21,285.83,286.93,285.55,286.51
233,2019-05-22,285.45,286.69,285.1,285.63
234,2019-05-23,283.16,283.21,280.57,282.14
235,2019-05-24,283.74,284.2,282.09,282.78
236,2019-05-28,283.09,284.15,280.15,280.15
237,2019-05-29,278.91,279.36,276.71,278.27
238,2019-05-30,279.11,280.04,277.8,279.03
239,2019-05-31,276.2,277.12,275.24,275.27
240,2019-06-03,275.31,276.56,273.09,274.57
241,2019-06-04,277.12,280.68,276.62,280.53
242,2019-06-05,282.33,282.99,280.32,282.96
243,2019-06-06,283.29,285.55,282.57,284.8
244,2019-06-07,285.93,288.85,285.74,287.65
245,2019-06-10,289.36,290.82,288.87,288.97
246,2019-06-11,290.99,291.4,288.18,288.9
247,2019-06-12,288.64,289.26,287.81,288.39
248,2019-06-13,289.4,289.98,288.62,289.58
249,2019-06-14,289.26,289.93,288.41,289.26
250,2019-06-17,289.52,290.22,289.18,289.37
251,2019-06-18,291.39,293.57,290.99,292.4
252,2019-06-19,292.55,293.65,291.47,293.06
253,2019-06-20,296.04,296.31,293.12,295.86
254,2019-06-21,294.14,295.52,293.76,294.0
255,2019-06-24,294.23,294.58,293.47,293.64
256,2019-06-25,293.69,293.73,290.64,290.76
257,2019-06-26,291.75,292.31,290.34,290.47
258,2019-06-27,291.31,292.06,290.89,291.5
259,2019-06-28,292.58,293.55,292.01,293.0
260,2019-07-01,296.68,296.92,294.33,295.66
261,2019-07-02,295.61,296.49,294.68,296.43
262,2019-07-03,297.19,298.82,297.02,298.8
263,2019-07-05,297.45,298.64,296.01,298.46
264,2019-07-08,297.01,297.35,296.22,296.82
265,2019-07-09,295.54,297.52,295.48,297.19
266,2019-07-10,298.37,299.66,297.78,298.61
267,2019-07-11,299.32,299.58,298.2,299.31
268,2019-07-12,299.85,300.73,299.51,300.65
269,2019-07-15,301.13,301.13,300.19,300.75
270,2019-07-16,300.65,300.88,299.44,299.71
271,2019-07-17,299.75,299.93,297.74,297.74
272,2019-07-18,297.19,299.25,296.7,298.83
273,2019-07-19,300.02,300.07,296.96,297.17
274,2019-07-22,297.61,298.5,297.04,297.9
275,2019-07-23,299.14,300.03,298.22,300.03
276,2019-07-24,299.18,301.44,299.09,301.44
277,2019-07-25,300.95,301.0,299.11,300.0
278,2019-07-26,300.76,302.23,300.62,302.01
279,2019-07-29,301.88,301.93,300.85,301.46
280,2019-07-30,299.9,301.17,299.49,300.72
281,2019-07-31,300.99,301.2,295.2,297.43
282,2019-08-01,297.6,300.87,293.96,294.84
283,2019-08-02,293.85,294.12,290.9,292.62
284,2019-08-05,288.09,288.21,281.72,283.82
285,2019-08-06,285.91,288.04,284.28,287.8
286,2019-08-07,284.41,288.82,282.04,287.97
287,2019-08-08,289.61,293.62,289.01,293.62
288,2019-08-09,292.56,293.24,289.65,291.62
289,2019-08-12,289.96,290.57,287.02,288.07
290,2019-08-13,287.74,294.15,287.36,292.55
291,2019-08-14,288.07,288.74,283.76,283.9
292,2019-08-15,284.9,285.64,282.39,284.65
293,2019-08-16,286.48,289.33,284.71,288.85
294,2019-08-19,292.18,293.08,291.44,292.33
295,2019-08-20,291.77,292.36,289.95,290.09
296,2019-08-21,292.47,292.86,291.72,292.45
297,2019-08-22,293.23,293.93,290.4,292.36
298,2019-08-23,290.92,292.76,283.47,284.85
299,2019-08-26,287.27,288.0,285.58,288.0
300,2019-08-27,289.54,289.95,286.03,286.87
301,2019-08-28,286.14,289.07,285.25,288.89
302,2019-08-29,291.72,293.16,290.61,292.58
303,2019-08-30,294.22,294.24,291.42,292.45
304,2019-09-03,290.57,291.58,289.27,290.74
305,2019-09-04,293.14,294.06,292.31,294.04
306,2019-09-05,296.79,298.83,296.64,297.82
307,2019-09-06,298.17,298.76,297.42,298.05
308,2019-09-09,299.14,299.24,297.16,298.2
309,2019-09-10,297.36,298.2,295.97,298.13
310,2019-09-11,298.47,300.34,297.75,300.25
